non_dicom_file_id,download_row_id,download_id,file_name,file_ext,package_path,file_role,bytes,checksum,checksum_algorithm,object_modality,image_format,is_wsi,is_codex,source_table,source_row_id
pathology-file-object:02d5690c683306072f880d4b,696,48969,WSI_CODEX__C3L-01046__C3N-01197__C3L-02041.ome.tiff,.tiff,WSI_files/WSI_CODEX__C3L-01046__C3N-01197__C3L-02041.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:c12a59e970a040b395a8c926
pathology-file-object:859b1e7ea2230cf7e0a2a115,696,48969,WSI_CODEX__C3N-03448__C3N-03450__C3N-03070.ome.tiff,.tiff,WSI_files/WSI_CODEX__C3N-03448__C3N-03450__C3N-03070.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:f573a75d1a00ca06272e2768
pathology-file-object:4a4f9d62989a9bd3d3350908,696,48969,WSI_CODEX__HS-12-30984__HS-13-18789.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-12-30984__HS-13-18789.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:6eb39498b68b62864f3ec3b4
pathology-file-object:918c518a2c767a1873ffb7bf,696,48969,WSI_CODEX__HS-13-23034__HS-14-13304.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-13-23034__HS-14-13304.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:2280e7b80c7ca11688d9c201
pathology-file-object:8b3b26f0a381c47f1129431c,696,48969,WSI_CODEX__HS-13-6668_2B__HS-16-40491.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-13-6668_2B__HS-16-40491.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:5dd3b4faf5da1a6fb576e508
pathology-file-object:54ab9f9d7f43449898660bc6,696,48969,WSI_CODEX__HS-16-21554__HS-17-12425.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-16-21554__HS-17-12425.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:8a918a4e2138122e8294781e
pathology-file-object:1a6bb4475ee88f6c2661b386,696,48969,WSI_CODEX__HS-18-11250-1B__HS-19-6647-1B.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-18-11250-1B__HS-19-6647-1B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:d3453bbd528a4b75ae8fac9c
pathology-file-object:2884eea37c4c91ea381cbd8d,696,48969,WSI_CODEX__HS-18-6934-2A__HS-19-14816-1J.ome.tiff,.tiff,WSI_files/WSI_CODEX__HS-18-6934-2A__HS-19-14816-1J.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:9340f667d75252831e0fb631
pathology-file-object:9428e6b6241a2ed50ff9f241,696,48969,WSI_HE__C3L-01046-14__C3N-01197-15__C3L-02041-12.qptiff,.qptiff,WSI_files/WSI_HE__C3L-01046-14__C3N-01197-15__C3L-02041-12.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:8741d9132bdf87b47152d86c
pathology-file-object:e7bdc76353c173d271a61764,696,48969,WSI_HE__C3N-03448-11__C3N-03450-18__C3N-03070-12.qptiff,.qptiff,WSI_files/WSI_HE__C3N-03448-11__C3N-03450-18__C3N-03070-12.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:530f4a0ad3037357825ecbd7
pathology-file-object:d0422e37510b4beefa5266d4,696,48969,WSI_HE__HS-12-30984_1F_top__HS-13-18789_1B_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-12-30984_1F_top__HS-13-18789_1B_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:d88c74d92b38137f890cc7ad
pathology-file-object:29916684a4315a24fda399a6,696,48969,WSI_HE__HS-13-23034_1C_top__HS-14-13304_1C_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-13-23034_1C_top__HS-14-13304_1C_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:9aed422592837cfabce135b8
pathology-file-object:0c55158f076d6456ef3f1986,696,48969,WSI_HE__HS-13-6668_2B_top__HS-16-40491_1D_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-13-6668_2B_top__HS-16-40491_1D_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:3835b2145c31d15e4e48b5ce
pathology-file-object:21e8126f6b5dffd4baf9fa46,696,48969,WSI_HE__HS-16-21554_2D_top__HS-17-12425_3B_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-16-21554_2D_top__HS-17-12425_3B_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:4d4ad5c0e5f62eb72e03201c
pathology-file-object:544777203df7f5ec8307c0fa,696,48969,WSI_HE__HS-18-11250_1B_top__HS-19-6647_1B_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-18-11250_1B_top__HS-19-6647_1B_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:506c855bcd924c6499810eb0
pathology-file-object:163481190a3e893f4ac83ac9,696,48969,WSI_HE__HS-18-6934_2A_top__HS-19-14816_1J_btm.qptiff,.qptiff,WSI_files/WSI_HE__HS-18-6934_2A_top__HS-19-14816_1J_btm.qptiff,other,,,,,QPTIFF,0,0,pathology_package_files,pathology-package-file:891edd6e4db66d830ca3afc6
pathology-file-object:d111ba9fe0241c01d7cc9c29,696,48969,CODEX__C3L-01046-14.ome.tiff,.tiff,cropped_files/CODEX__C3L-01046-14.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:6289c4a08e96e5e3daeb54f2
pathology-file-object:2e65281ac6321e804d860035,696,48969,CODEX__C3L-02041-12.ome.tiff,.tiff,cropped_files/CODEX__C3L-02041-12.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:21312a10a9b238cc22ef57e3
pathology-file-object:614f851b8e8836f7b53a18a2,696,48969,CODEX__C3N-01197-15.ome.tiff,.tiff,cropped_files/CODEX__C3N-01197-15.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:ddb4d2d46def6cde8022e43a
pathology-file-object:bdff09a01110893f4542dd46,696,48969,CODEX__C3N-03070-12.ome.tiff,.tiff,cropped_files/CODEX__C3N-03070-12.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:b83161838c66856fae975bec
pathology-file-object:79d8ad075f87547be6c4bdf2,696,48969,CODEX__C3N-03448-11.ome.tiff,.tiff,cropped_files/CODEX__C3N-03448-11.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:0be07e45f7ebf5447ac1b3bf
pathology-file-object:9ceb608e06eb987c6da6bd9d,696,48969,CODEX__C3N-03450-18.ome.tiff,.tiff,cropped_files/CODEX__C3N-03450-18.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:765c8554f351660ef2fc75e0
pathology-file-object:84b839a4b26bb23edcc5b677,696,48969,CODEX__HS-12-30984_1F.ome.tiff,.tiff,cropped_files/CODEX__HS-12-30984_1F.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:4e384fd2b1b1d2a2f957b98f
pathology-file-object:9c10e8118add4e04f8d0e4e4,696,48969,CODEX__HS-13-18789_1B.ome.tiff,.tiff,cropped_files/CODEX__HS-13-18789_1B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:32976b0acc48272dda92b247
pathology-file-object:81a61dad7c6851e07b2ba315,696,48969,CODEX__HS-13-23034_1C.ome.tiff,.tiff,cropped_files/CODEX__HS-13-23034_1C.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:bcbd366300ac5e067eb81688
pathology-file-object:c077134896ca233b9b8ba81e,696,48969,CODEX__HS-13-6668_2B.ome.tiff,.tiff,cropped_files/CODEX__HS-13-6668_2B.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:09bc8f3f8517ddab6078fde4
pathology-file-object:c574a715c7211dcb47a997c2,696,48969,CODEX__HS-14-13304_1C.ome.tiff,.tiff,cropped_files/CODEX__HS-14-13304_1C.ome.tiff,codex_image,,,,multiplex_immunofluorescence,TIFF,1,1,pathology_package_files,pathology-package-file:625f7297e47e9efb7c7ca32e
